,K,precision,recall,f1
0,100,0.3271193963604083,0.4074074074074074,0.36287543082225504
1,100,0.3261348611723226,0.4090657822001106,0.36292300147130946
2,100,0.33217088055797733,0.42122719734660036,0.37143553497440895
3,100,0.33047210300429186,0.4256495301271421,0.37207054844165255
4,100,0.32521008403361346,0.42786069651741293,0.3695392695153975
5,307,0.3706896551724138,0.38032061912658927,0.37544338335607097
6,307,0.34409161894846435,0.3653952459922609,0.3544235924932976
7,307,0.3584905660377358,0.39911553344389167,0.3777138373005493
8,307,0.3661338661338661,0.4051962410171365,0.38467593807399636
9,307,0.3776223776223776,0.3880597014925373,0.38276990185387133
10,514,0.3633423180592992,0.37258153676064126,0.3679039301310043
11,514,0.37848383500557414,0.37534549474847984,0.3769081321121288
12,514,0.38340336134453784,0.4035378662244334,0.3932130352814436
13,514,0.37177461822011587,0.3902708678828082,0.38079827400215754
14,514,0.3733883445074781,0.4002211166390271,0.3863393810032017
15,721,0.37725533078184803,0.3814262023217247,0.3793293018141836
16,721,0.3836734693877551,0.3637368711995578,0.3734392735527809
17,721,0.39417693169092943,0.38916528468767275,0.3916550764951322
18,721,0.3811634349030471,0.38032061912658927,0.38074156059767567
19,721,0.386797599563557,0.3919292426755113,0.38934651290499733
20,929,0.4197608558842039,0.3687119955776672,0.392583872866392
21,929,0.4,0.3692647871752349,0.38401839609083066
22,929,0.42201834862385323,0.3814262023217247,0.40069686411149824
23,929,0.4015020219526285,0.3841901603095633,0.3926553672316384
24,929,0.41179976162097737,0.3819789939192924,0.39632922282764554
25,1136,0.41943900848010435,0.355444997236042,0.3847995212447636
26,1136,0.3970130678282514,0.35268103924820343,0.373536299765808
27,1136,0.42049025769956,0.36981757877280264,0.3935294117647059
28,1136,0.39802834257547753,0.35710337202874515,0.3764568764568765
29,1136,0.42424242424242425,0.3637368711995578,0.3916666666666667
30,1343,0.4161849710982659,0.3582089552238806,0.3850267379679145
31,1343,0.4095846645367412,0.3543394140409066,0.3799644339063426
32,1343,0.419910657306956,0.3637368711995578,0.38981042654028436
33,1343,0.415452818239392,0.36263128800442235,0.38724911452184174
34,1343,0.42322834645669294,0.35655058043117743,0.3870387038703871
35,1550,0.431023102310231,0.3609729132117192,0.39290012033694344
36,1550,0.4143681847338037,0.35710337202874515,0.3836104513064133
37,1550,0.41061276058117496,0.359314538419016,0.38325471698113206
38,1550,0.4287598944591029,0.359314538419016,0.39097744360902253
39,1550,0.4315023163467902,0.3604201216141515,0.39277108433734936
40,1757,0.42701227830832195,0.3460475400773908,0.38229007633587786
41,1757,0.42344827586206896,0.33941404090657823,0.3768027002147898
42,1757,0.4261658031088083,0.3637368711995578,0.3924843423799582
43,1757,0.42185430463576157,0.3521282476506357,0.3838505573968063
44,1757,0.44996501049685095,0.355444997236042,0.3971587399629401
45,1964,0.4489500362056481,0.3427307904919845,0.3887147335423198
46,1964,0.4269422665716322,0.33112216694306246,0.3729763387297634
47,1964,0.4547477744807122,0.3388612493090105,0.38834336395312014
48,1964,0.4370161857846587,0.34328358208955223,0.38452012383900924
49,1964,0.4392129304286718,0.3454947484798231,0.3867574257425742
50,2171,0.4474256707759246,0.3410724156992814,0.38707653701380174
51,2171,0.4355300859598854,0.33609729132117194,0.3794071762870515
52,2171,0.43587842846553004,0.3250414593698176,0.37238758708043074
53,2171,0.4355426074289876,0.33056937534549474,0.37586423632935256
54,2171,0.44428969359331477,0.35268103924820343,0.39322033898305087
55,2379,0.43494152046783624,0.3289110005527916,0.37456720176266917
56,2379,0.4355783308931186,0.3289110005527916,0.3748031496062992
57,2379,0.447178002894356,0.3416252072968491,0.38733939204011286
58,2379,0.42058623040218135,0.3410724156992814,0.3766788766788767
59,2379,0.45019011406844106,0.32725262576008846,0.3790012804097311
60,2586,0.43513119533527694,0.33001658374792703,0.37535366237032375
61,2586,0.4335511982570806,0.33001658374792703,0.3747645951035782
62,2586,0.44498948843728103,0.3510226644555003,0.392459826946848
63,2586,0.43437945791726107,0.33665008291873966,0.3793210837745251
64,2586,0.4442825928623452,0.33720287451630737,0.3834066624764299
65,2793,0.43080198722498225,0.33554449972360423,0.3772529521441889
66,2793,0.43801039346696363,0.326147042564953,0.37389100126742714
67,2793,0.4365781710914454,0.32725262576008846,0.3740916271721959
68,2793,0.4224672639558925,0.3388612493090105,0.37607361963190183
69,2793,0.44903777619387025,0.3482587064676617,0.39227895392278955
