,K,acc,precision,recall,f1
0,100,0.021651785714285714,0.006083861307598512,0.021651785714285714,0.005677610746638933
1,100,0.015401785714285715,0.0003693716945591538,0.015401785714285713,0.0006455409230058338
2,100,0.0140625,0.019663341738765435,0.014062499999999999,0.004182216818704781
3,100,0.018973214285714284,0.003997819137964279,0.018973214285714284,0.005560416008002804
4,100,0.029910714285714287,0.0033538773095570964,0.029910714285714284,0.005535271617676431
5,450,0.19486607142857143,0.17926079509985177,0.19486607142857143,0.14112257339851003
6,450,0.2252232142857143,0.13393715874808806,0.2252232142857143,0.14500419046399027
7,450,0.19508928571428572,0.1727399380705613,0.1950892857142857,0.12891053515228262
8,450,0.171875,0.1195563033389619,0.171875,0.11247613002686532
9,450,0.18660714285714286,0.11315908705053651,0.18660714285714286,0.10929976358467025
10,800,0.19419642857142858,0.1448975687015227,0.19419642857142858,0.13384741970556602
11,800,0.28616071428571427,0.23104055094385825,0.28616071428571427,0.2169158119955375
12,800,0.2703125,0.23401144369922797,0.27031249999999996,0.20379676132531327
13,800,0.24732142857142858,0.2217965967917025,0.24732142857142858,0.1796190079660473
14,800,0.28526785714285713,0.22116356371241275,0.2852678571428571,0.21068639520997018
15,1150,0.3254464285714286,0.2893699740721358,0.3254464285714285,0.2518534302452543
16,1150,0.34732142857142856,0.2740528562142488,0.34732142857142856,0.2788440387634412
17,1150,0.3495535714285714,0.30283336878994305,0.3495535714285714,0.274944186724534
18,1150,0.3220982142857143,0.2810703676730125,0.3220982142857143,0.24648857619608022
19,1150,0.3263392857142857,0.2898855468005743,0.3263392857142857,0.259582205306949
20,1500,0.3645089285714286,0.34831000703503234,0.3645089285714285,0.3084041925128207
21,1500,0.3734375,0.3118635282222011,0.3734375,0.31013719994162914
22,1500,0.3638392857142857,0.31007045425258617,0.3638392857142857,0.30002355507685796
23,1500,0.34754464285714287,0.32371822857224364,0.3475446428571428,0.2895293134201409
24,1500,0.35,0.29991930372656567,0.35,0.28725527592068734
25,1850,0.37745535714285716,0.33490215157708897,0.37745535714285716,0.32678074425109505
26,1850,0.3841517857142857,0.3286123484458616,0.38415178571428577,0.3276249653058597
27,1850,0.36941964285714285,0.3285881870549639,0.36941964285714285,0.31510888657838576
28,1850,0.35267857142857145,0.29341992479851126,0.3526785714285714,0.2861553684943893
29,1850,0.3669642857142857,0.3321610509977013,0.3669642857142857,0.3095267232389862
30,2200,0.37075892857142856,0.3475993457697184,0.37075892857142856,0.32666452201813717
31,2200,0.38950892857142855,0.35125014335826155,0.38950892857142855,0.3362819810514033
32,2200,0.3689732142857143,0.34513007677780305,0.3689732142857143,0.3246019347215131
33,2200,0.36361607142857144,0.32531523720984534,0.36361607142857144,0.30485034134469063
34,2200,0.3808035714285714,0.3578776797205546,0.38080357142857135,0.33381782972448426
35,2550,0.38973214285714286,0.3693784003858739,0.3897321428571429,0.3434022216653511
36,2550,0.3845982142857143,0.36437803492501375,0.3845982142857143,0.3438954726063397
37,2550,0.3698660714285714,0.36194980054422143,0.3698660714285714,0.3253870717421146
38,2550,0.3845982142857143,0.3580742752516322,0.3845982142857143,0.3324307549355714
39,2550,0.37098214285714287,0.3559340635744469,0.3709821428571428,0.3217932822058791
40,2900,0.3890625,0.368635259552088,0.3890625,0.3458638308789696
41,2900,0.378125,0.3585764762397736,0.37812500000000004,0.3364512423921214
42,2900,0.37142857142857144,0.34848932188009707,0.37142857142857144,0.3291734737711246
43,2900,0.37142857142857144,0.3575115253777522,0.37142857142857144,0.32746641045416514
44,2900,0.36830357142857145,0.3470261803739102,0.3683035714285714,0.31926324590068383
